name,url,author,date
Sanctuary’s new trailer is a twisted game of cat and mouse,https://www.theverge.com/23680061/sanctuary-trailer-release-date,ANDREW WEBSTER,APR 12
Redfall won’t have a 60fps mode on Xbox at launch,https://www.theverge.com/2023/4/12/23680358/redfall-xbox-no-60fps-performance-mode-launch,JAY PETERS,APR 12
NPR becomes first major news organization to leave Twitter,https://www.theverge.com/2023/4/12/23680394/npr-leaves-twitter-elon-musk-bbc-substack,ARIEL SHAPIRO,APR 12
The Continental’s first trailer takes the John Wick series to the ’70s,https://www.theverge.com/23680378/the-continental-teaser-trailer-john-wick-peacock,ANDREW WEBSTER,APR 12
China wants homegrown AI to reflect the core values of socialism,https://www.theverge.com/2023/4/12/23680027/china-generative-ai-regulations-promote-socialism-chatgpt-alibaba-baidu,JON PORTER,APR 12
Microsoft is changing the Print Screen key to open its Snipping Tool on Windows 11,https://www.theverge.com/2023/4/12/23680002/microsoft-print-screen-key-snipping-tool-windows-11,TOM WARREN,APR 12
WhatsApp now lets users shop and pay in app in Brazil,https://www.theverge.com/2023/4/12/23679982/whatsapp-brazil-merchant-payments-launched,JON PORTER,APR 12
OpenAI offers bug bounty for ChatGPT — but no rewards for jailbreaking its chatbot,https://www.theverge.com/2023/4/12/23679964/openai-bug-bounty-chatgpt-no-jailbreak,JAMES VINCENT,APR 12
iPhone 15 Pro could end up having physical rather than solid-state buttons after all,https://www.theverge.com/2023/4/12/23679954/iphone-15-pro-physical-buttons-not-capacitive,JON PORTER,APR 12
"It’s been 84 years, but Strava finally has a Spotify integration",https://www.theverge.com/2023/4/12/23679156/strava-spotify-integration-fitness-streaming,VICTORIA SONG,APR 12
The NYPD is bringing back its robot dog,https://www.theverge.com/2023/4/11/23679297/nypd-robot-dog-spot-surveillance-boston-dynamics,EMMA ROTH,APR 12
Connor Roy is the real heart of Succession,https://www.theverge.com/2023/4/11/23679320/succession-connor-roy-alan-ruck,ELIZABETH LOPATTO,APR 12
‘Baby Shark’ gets a podcast deal,https://www.theverge.com/2023/4/11/23679366/baby-shark-pinkfong-podcast-apple-nick-cannon-amp-bbc-twitter-musk,ARIEL SHAPIRO,APR 12
"The entire story of Elon Musk and Twitter, so far",https://www.theverge.com/2022/4/11/23019836/elon-musk-twitter-board-of-directors-news-updates,RICHARD LAWLER,APR 12
Lofi Girl’s new synthwave livestream features a new person — and their dog,https://www.theverge.com/2023/4/11/23679064/lofi-girl-new-synthwave-livestream-person-dog,JAY PETERS,APR 12
Sony is gearing up for a new cloud gaming push amid rumors of a PlayStation handheld,https://www.theverge.com/23677968/sony-cloud-gaming-playstation-now-jobs-patents,SEAN HOLLISTER,APR 11
Ikea’s virtual interior design service brings in a pro to pick out your new furniture,https://www.theverge.com/2023/4/11/23678610/ikea-interior-design-service-expansion,UMAR SHAKIR,APR 11
Twitter alternatives for the Musk-averse,https://www.theverge.com/23429095/twitter-social-network-alternatives-mastodon-reddit-tumblr-cohost,BARBARA KRASNOFF,APR 11
Ford’s Oakville plant in Canada will start making EVs in 2024,https://www.theverge.com/2023/4/11/23678871/fords-oakville-factory-canada-ev-transform,ANDREW J. HAWKINS,APR 11
"This pixelated outfit could be yours for $4,350",https://www.theverge.com/2023/4/11/23678711/loewe-pixelated-fashion-minecraft-paris-fashion-week-for-sale,MIA SATO,APR 11
Google TV’s live guide is getting crammed full of over 800 free channels,https://www.theverge.com/2023/4/11/23678160/google-tv-live-guide-fast-channels-tubi-plex-announced,CHRIS WELCH,APR 11
Jennifer Lopez is a reformed assassin in the trailer for The Mother,https://www.theverge.com/23678830/the-mother-netflix-jennifer-lopez-trailer,ALEX CRANZ,APR 11
"FTC cracks down on Amazon ‘review hijacking’ with $600,000 fine",https://www.theverge.com/2023/4/11/23678538/ftc-amazon-supplement-seller-fine-online-reviews,EMMA ROTH,APR 11
Google TV’s live guide is getting crammed full of over 800 free channels,https://www.theverge.com/2023/4/11/23678160/google-tv-live-guide-fast-channels-tubi-plex-announced,CHRIS WELCH,APR 11
Jennifer Lopez is a reformed assassin in the trailer for The Mother,https://www.theverge.com/23678830/the-mother-netflix-jennifer-lopez-trailer,ALEX CRANZ,APR 11
